dyad,ID,all_text
58,R_z28iHGthxTMf4Zz,"they will continue talking, because they enjoy talking to each other I would feel good about talking to the other person. They might be talking about a project they are woking on at work He just arrived and is listening to find out what they are talking about. They look like they are in agreement  and are happy with the outcome."
59,R_eLnLBeCzDEdytEZ,"I think they are talking about a possible crime investigation  The guy with the pipe is the investigator and the guy with the hoodie is being questioned or is a suspect I think that they guy with the pipe is going to go on his way to investigate a case  because the guy in the hoodie gave him a clue or a hint I would feel intimidated by the guy with the pipe I would also feel puzzled  They are talking about possible ways to market a new ad campaign The man with the black hair is standing because he is the one pitching new ideas I think that it is tense, because the man with the black hair is trying to see if the other people like the ideas"
60,R_1Ihk2RdS9uQRHNS,"I think there could be several reasons They could be father/son or they could have just sat next to each other at the bar and apparently now I have nobody to talk to which will certainly make this more difficult I'd like to get the money out of this, so I suppose I'll keep talking to nobody It doesn't look particularly dynamic, so I would think they'd mostly just continue to sit there talking I don't know where this is, but I can't think of anyplace currently that would allow someone to smoke a pipe indoors, so it's quite possible one of the diner staff would ask the guy in the hat to put out his pipe I think I'd be pretty comfortable He looks fairly relaxed in his posture Although I might be reading things that aren't actually there, since it's a step up from stick figures I might be jealous of the other guy's hat, though It kind of looks like an intervention. The standing guy looks like he could be defensive the chair is crowded in the middle, so I can see him wanted to stand up and back out for some space It appears the person on the right is currently talking, though He looks defensive to me and has taken a stance to back away and maintain a protective space around himself the spacial reasoning of this picture doesn't make sense - is the chair slid under a coffee table? I think it's uncomfortable They consider what the person on the right's saying to be important, but they don't like that it has to be said. Maybe it's like talking to yourself in a chatroom, except for the important part I wish there were some instructions on what to do if your partner leaves"
60,R_3ltp27y9srNFEro,Maybe they are friends?
61,R_rpVRImtndN7B6md,Because they are next to each other and both desire conversation Basically to break boredom They will keep talking  possibly buy each other a drink Honestly I would ask the guy how he can get away with smoking a pipe in a bar I would wonder if he owned it  I would also think I was underdressed Some discussion possibly a bank heist or small robbery or a spot to go on vacation He is tired of sitting He is tentatively listening but nervous to ask for the seat too timid to ask for the seat Probably tentative towards theone on the right seated quiet The one on the right because of his lean seems dominant
62,R_bvzmJ91SuWIE8al,waiting for the his man saw a wanted person hello went to outside are you there? discussed something his person with servent four peoples are talking some secrets i think that man is servent very silent and scary situation thank you
63,R_2SqbdxSskUh6E2T,They are talking about work I think the man with his back to us will finish his drink because he has a cup beside him in the picture. I would feel relaxed. The man in the sweatshirt looks relaxed and comfortable. I think these people are discussing problems that they are having. He wanted to have some space.Mayb   I think the mood is relaxed. They all look comfortable with each other.
63,R_2w5EUBiIVFruoF5,"I believe they are talking; otherwise, they won't face each other. You maybe right.  They may talk about their work. The man with the pipe will turn around because a man is coming to the restaurant. I will be alert and switch the focus on the man coming to the restaurant. They are talking about the result of World Cup. He just came in and joined the meeting. All of us should be relax."
64,R_1OlfVENG7y9mfLR,hello? ok....
65,R_zdJUn9uuZ3NArlf,"they are looking at each other. they are close to each other. hello? hurray! They will get the coffee they ordered.  It looks like a coffee bar. hello? I would be happy. there are a lot of ash trays on the bar They appear to be talking to an empty chair. The chair must have done something wrong, or its a role playing game They are talking about the chair as if it were a person. the man with black hair is not taking part in the role playing.  he is an observer or possibly a coach. hello ? That is tough to read.   two people appear to have their legs up on the chair being talked at. they alos are leaning forward and gesturing. that is tense."
66,R_3h61MEU8Vyp5Jid,"hello!  Looks to me like a chat in a pub probaly a work issue? or sports? I think sports I agree! we'll go with that okay? lol I wish there was a timer here I think they will both laugh.  LOL I like taht - another round! laugh and another round. so now we wait out 2 minutes so where are you? minnesota here and even more mosquitos! I think the man in the sweatshirt might be annoyed by the stinky pipe. I like that thinking 'damn, that pipe stinks and he talks a lot. LOL! the empty chair seance? hahahaha! tLOL! Good!   I like it! lmao! works for me! well, DUH!  because the spirit is sitting in the chair okay...LOL! me, too.  Thanks! We're great! Well, I think the spirit they are talking to hid some money and is refusing to tell them where it is because Carol for got the board! that Carol....so irresonsible! this guy on the right is raising his fist threatening to punch the spirit in the face if he can find his face See you! Thanks!"
66,R_1OpgHPTedRrmvaT,"Hi. yeah I agree. Probably just killing time talking at a bar  eh i think they were strangers before this meeting so probably sports more than work  ok so that is settled lol  yep  right same i was just wondering  oh ok  they will order another round maybe ok sounds good to me  order another round and then laugh about it yeah totally  cleveland  you? land of a 1000 lakes!  lol!  ok if i were the man in the hooded sweathshirt i would think ""ok this guy talks a lot but whatever I like observing people""  oh yeah i was thinking that oo  too  this pipe stinks and this guy talks a lot  but he's buying so i dont care!  yeah haha  oooh dark!  i dig it though  damnit carol you forgot the ouijia board?!?! dear spirits move this chair up into the air if you wish carol would have brought a ouijia board and made this easier for everyone  ok lol great!  he's a nonbeliver!  this isnt going to work, you guys!  oh yeah!!!  let's go with that  really funny  glad we are making this go fast  we're a good team  somber? tense? nervous? excited? kinda a combo?  hahaha damnit carol!  so tense and frustrated!  who shows up to a seance without the board?! hahah!  it was nice working with you! enjoy this 4 dollars "
67,R_3MMDynDI5DPa5sD,"Maybe the man in the sweatshirt is asking him to stop smoking. They could be. Ha ha That's a very good possibillity. It doesn't look like he's sitting. And he wants to be away from the smoke. Yes, especially in an enclosed area. It looks like they might be having an intervention with the man. Yeah, that seems more like a realistic idea. He could be contemplating the idea they came up with. Ha ha Yeah, I agree. It looks a little awkwrd. awkward"
67,R_PBeio8mQTOTXdJL,"I think they are acquaintances. I like yours better. :) I think the man in the sweatshirt will take his coffee and walk away. To answer the why portion, because his coffee is ready. I don't know. Yes. Exactly. haha I think I'd want to get away from the smoke ASAP. Agreed. I think they're brainstorming an idea. He does look defensive - an intervention may be what's happening. I first read that as invention. oop oops It looks a bit tense, like not everyone is on the same page. Agreed"
68,R_b1LXRqAdBZvWUGl,"Casual conversation in a bar.  That is possible. Yeah, I think it's a diner.  Or planning something. This is possible. lol They will pay then leave. Then go do whatever they talked about. Yes, I agree That is what I thought. Many places are smoke free these days.  Maybe relieved that they had a discussion of their plans. Yes, he is at ease The other guy looks like a gangster though  Someone out of the 1940s lol very much so Yes, because they look intense.  Yes, a counseling session. And the guy in the middle is a counselor perhaps. AA or NA An observer perhaps Yes, maybe perplexed Right Definitely not at ease  TRUE Or somber Definitely not light hearted I think so"
68,R_10YRUIOZl8Odkme,"I think they are talking about politics A bar or maybe a diner Looks like a coffee cup They could even be talking about the weather. TRUE a trip or a crime lol I think they're going to pay and leave Because they are facing each other and look like they're about to get up Maybe they have to leave because the one with the pipe isn't allowed to smoke indoors And they're going to do what they planned like you said Yes. True I think I would feel comfortable His body language looks relaxed Yes. Defintitely A little bit. Especially with the hat TRUE Old school lol They're talking about a problem Something serious Maybe it's an intervention Yeah...the guy on the right has some sort of problem What do you think the problem is He's the father and feels uncomfortable in the situation He doesn't know what to say He's more of an observer than a participant right now Yeah, he has to take a mental break He's pretty upset Yeah, his body language is clear Not at ease He has things he wants to say but just doesn't know how It's tense Yes!  Because of what we discussed- the conversation is a therapy or intervention and the body language suggests something very serious This is not a party Hello"
69,R_1EhTVpo5tzDeWnL,"They met at the bar and fell into casual conversation. Maybe they're in Alaska. We visited there recently and I was surprised smoking was allowed in bars. Or maybe they're in Europe. I wondered if this was a coffee shop instead of a bar.  I don't really think the two of them are together. They are dressed so differeintly. I would want the man in the hat to put out that pipe! Yeah, he probably is interesting. Not many people wear hats these days. Are they practicing for an intervention? (Waiting for someone to occupy that chair?) The dark-haired man looks hesitant to get involved. Yeah. He's not so sure he wants to sit down and hear what the others have to say. That would be tense! I would say tense, except the person on the sofa with her back to us (Mom?) is in a pretty relaxed position. So maybe that person isn't mom, but someone who has less of a vested interest. All the men definitely look tense."
69,R_2YDF7IUPMMj942C,"Yes, casual conversation or... They could be discussing how lucky they are smoking is still allowed where they live inside. but casual conversation is more likely.  That's shocking.  Smoking hasn't been allowed in bars here for a long time.   Seems to me that they will probably get food next.  Looks like coffee is already on the table.  Certainly looks that way.  Maybe a casual cafe? Another option is that they could be finishing up and waiting for the check. Yeah, I agree with that.  Certianly wouldn't enjoy the pipe smoke.   Looking at body position, I think I would also feel interested in what the other man was saying.  Enjoying the conversation (minus the pipe) maybe?  Not many people still smoke pipes either!  This looks like a family meeting to me.  That could certianly be it!  Maybe family therapy.  The dark haired man is maybe the one who the intervention is being held for... Maybe two of the others are his parents and the found out he was using drugs. Definitely the mood in the room is tense.  Dark haired man upset that he was caught and parents disappointed in his behavior.  Also, the fist the other man is making seems like it adds to the tense atmosphere.  Maybe mom is just letting dad take the lead in this situation?"
71,R_1pMbilLGsSU8afP,Hi Where you same person I previously chatted with? Ok I think the man in the hooded sweatshirt is asking the man to turn of the smoke because it's a restaurant
71,R_2zihdBE07ajUXVl,yo Nope.  First time I've done this. So are they planning to rob a bank? A hot lady comes up to them and asks the man with the pipe if he would like to buy her a drink hello? I would probably tell him to put out his pipe because this is a non-smoking facility and tell the lady I would buy her a drink instead politics
73,R_3HHPUFKmrErawZU,"I think they are engaged in friendly banter discussing the intricacies of their daily routine and the motivation that propels them, giving them the motivation to be successful in their daily endeavors.  I think they order another round of java"
74,R_1JJdg9vUl8scZbu,"I think they are probably just killing time chatting. It looks like a bar from the 1980s. There are ashtrays! It could be a father/son chat. The guy with the pipe is dressed like he's older. I think you're right. They aren't at a good spot for chatting. The beer dispenser, or coffee maker, is right there. I'm thinking father/son chat. Pipe smokers are always dads. ;) Yep. I was going to say happy. They look like they are relaxing after coming in from the cold.  Probably a long day at work, trek through the cold to the bar, and now it's time to relax. Now I'm kind of envying them, as I sit at my computer. It looks like a hospital waiting room. We'll go with the class discussion. They look pretty animated for a hospital. Maybe some assignment where the professor said they had to work together. Let's make them medical students! He looks a little left out. That sounds good. He's about to come up with some brilliant observation. The one with his/her back to us, looks like he's waiting to see what he says. I think so too. After a long night, they have it all figured out.  The standing up guy looks ready to leave. Arrow to go to next page!"
74,R_2dWKTtkqgWuwwey,Same...it looks like they are just having friendly conversation until the other drink comes You could be right. I thought it was a coffeeshop at first. They might go and find a place to sit to keep talking Right...maybe they are waiting on the other drink to come before they sit Comfortable and relaxed TRUE Sounds right It looks like a class discussion But you also could be right....the one standing close to the table reminds me of a doctor for some reason He does. But maybe he's also pacing because they're studying together and he's trying to remember Right That one looks the most relaxed of them all They actually seem pretty relaxed Like maybe they're winding down the studying Because they think they know it Right
75,R_pNaHziG6EclHGlH,hello
76,R_1DC4sNa4B5UzQRy,"Maybe they are planning a heist Second look, it's a coffee shop and not a bar.  Maybe ? now what? The man in the hat will tamp out his pipe and get up to leave They will have concluded their business anyone there? nope just me hellooooooooo the guy in the hoodie is an infamous hit man  Nothing was discussed I am alon e talking to myself the guy in the had it a wealthy older man and the hoodie is a gold digger hoodie is closing that deal planning his next trip to europe to visit his real boo anyone there yet? The people in the picture are in a book club they are discussing the Harry Potter Series They also just took the online test to see which house they would be in Greg is really upset he's not in Griffindor He is very involved in discussing his Ron Weasley fan fiction  He can't deal with Greg anymore so he needed to pace Greg is so Slitheryn I think the mood is very tense in the room considering my discussion."
78,R_3iqx9hrVaHTTEvs,"They are coworkers. Maybe one is a undercover cop and the other is a detectie Agree, and then the guy with the sweatshirt a few minutes after. I would be guarded about being observed. yes confident also that we were about to make an arrest. yes, the doctor in the waiting room delivering news guy on the right appears to be upset. he seems like he is taking in the news, kind of resigned, and yes nervous. the mood is probably kind of somber  yes hoping for some good news."
78,R_2ahirQl0V8hzOLY,"I think they’re discussing a big case, maybe they’re detectives I think the guy with the pipe will walk out first sgreed  id Feel confident my partner and I are making moves to arrest someone  Probably why he has his back to the door, good eye  They seem like they are at a hospital getting bad news Exactly. One of the men looks stressed Pacing, trying not to get upset or nervous Yes, taking in the news but he’s not the main family member so he’s backed off a bit Very somber, maybe a little hope  Wondering if they’ll be able to visit soon"
80,R_vDNV3JadzxUF18l, Jhorgelis          | |   |   | | |
81,R_2rSMqfpBTL6Htnf,Cup of coffee Probably chit chatting Because they are friends
82,R_qw66GuGsrtLlJy9,being social they know each other They will stop talking and order food the man in the sweatshirt will ask the man with the pipe to stop smoking I would be annoyed that the other man was smoking in public. I would be anxious to eat. How their boss was being rude How the project could be completed He wants to join the conversation but is shy He is there to tell them break is over I think it is jovial as they are friends they are being productive
82,R_2wjACGmUi3tpRVD,They are exchanging pleasantries at the diner. they work together or live down the street from one another the man in the sweatshirt will leave  the man with the pipe will go to the restroom feel good that I am having conversation with someone I too would be annoyed by that My back would hurt from sitting like that How their day was. General small talk in the break room at work What their plans are for the holiday weekend He is anxious He prefers standing so he can observe. He is the new employee Relaxed and social They are having a good time on break
84,R_2wG3NcJgCOLwv1E,Hello
86,R_8qvEBpKdw13d9Bv,Hello
87,R_8uDkvFEcK9XlTpf,Hello partner.  Or they could just be talking while waiting for their coffee in a coffee shop. I like the no smoking answer lol I know. Not wnough information I think they will leave together Or they could forget to tip the waitress and she runs after them lol I don't think they look like they'd do that lol. Would be funny to watch I would feel relaxed. He looks relaxed in the picture Maybe the guy in the hat is a homeless person asking for money.  I agree. The smoke would be annoying. Tobacco smoke isn't as bad a s cigar smoke though This looks like students or a work team doing something They person on the couch looks bored Maybe in a library? The person on the right looks like he's the leader He just arrives and hasn't taken a seat yet lol. Or they are planning the party The man directly to the subject is not sitting in a chair either Not enough chairs for everyone.  I think you're right It's a serious conversation I get the feeling they all know each other.  It also looks like there is something on the table they are looking at
87,R_1o5qOYAeNc33CJL,it looks like they are talking about something important as they are turned towards each otehr hi or he can be asking him to stop smoking really it could be anythign lol sports daily goings on not info info agreed maybe they ll order food lol or another cup of coffee go for a walk together and just talk maybe they r friends because they forgot to pay lol or he was telling him there is no smoking lets go outside and they forgot to pay waitress chases em lol funny if i was the hooded sweathshirt guy id be annoyed as i hate the smell of pipe tobacco and smoke blowing in my face while i drink coffee cuz im ex smoker of 18 years lol does look relaxed maybe the person at end of counter is staring at them too it must have something to do with the smoke ugh cigar smoke worse looks like a discussion on something deep or philosophical they all look relaxed yes it does look like studetns lol could be politics....ugh study group yeah the one on the right looks like leader no beers cant be a aperty lol looks like an office or library maybe he just came in or he needed to strecth lol he could be the teacher or therapist or leader etc mood seem discussional....philosophical quiet or maybe man has problem they all lsitening....so listening ya agreed ya
88,R_1gvIzBaupqjNp7P,How long am I supposed to wait? It's been 18 minutes....  30 minutes. 
89,R_2wG3NcJgCOLwv1E,"I think they’re talking about their day Oh why, sorry. I agree they’re talking because they are friends"
89,R_2rSMqfpBTL6Htnf,"Because they are friends, and met for a cup of coffee. I did the same thing last time X3. Thought it said what "
90,R_3G9fw69jZNdaVJU,"Hello, I think the picture depicts a good conversation  The man with the pipe looks like an investigator The man with the pipe left his contact information for the man in the sweatshirt to call him if he remembers anything else about what he is investigating. Depending on why he is being questioned. I would feel relaxed or nervous at the same time. This definitely seems like a surprise to the guy in the sweatshirt. He looks to casual for the situation if the meeting was mutual. The people are talking about things going on in their lives. Their are sharing experiences concerning the same topic possibly. I think the mood in the room is positive. Everyone is engaged with each other and relaxed at the same time. "
92,R_2wG3NcJgCOLwv1E,"I think they’re talking because they’re friends and met for coffee They could be talking about business The guy with a hat could be a loan shark or monster or something  Mobster not monster I think the guy with the hoodie will be worried because he can’t come up with the money that he owes the guy with the hat If it’s a mobster, I’d probably be worried  Me too It’s an addict meeting and they’re talking about how the guy with black hair never sits down It does kind of look like a business meeting and the black hair guy is presenting or something good call, looks like the others are already talking and he just arrived Probably  Because the black hair guy was late I think it’s probably pretty tense Agreed"
92,R_2YkT6u5VDbkRBcd,I think they are talking some buisness At least they're having coffee like you mentioned I think they will finish talking their business and go on their way home Good point Same here Id be looking for a way out and get some help They're talking about some business stuff that happened in the day I think he just got to the meeting I assume the others started without him Yeah black hair guy was late The other's probably are upset
94,R_2BtDSdJybW4Ra2A,They are getting to no each other What makes you think that I think they have a cup of coffee and then order breakfast I would feel a little tense talking to a stranger I agree. It does seem to be a bar setting. I thought it was a diner in the beginning lol It looks they are having a group chat in a rehab facility Thanks! Yes I agree. Exactly! I think that is what the others are saying to him. I think the mood is calm and inviting because they seem open for discussion. Yes I agree
94,R_2zihdBE07ajUXVl,"The are discussing plans to rob a bank The guy with the pipe seems like a mob boss and is devious.  The guy in the hoodie looks suspicious lol I think a hot lady comes up to them and asks them to order a drink.  The guy in the sweatshirt tells the man with the pipe to put the smoke out because this is a non-smoking facility.   after that, if I were the guy in the sweatshirt, I'd tell the lady I'd buy her a drink instead and tell the guy in the hat to get out of here because I'm not robbing a bank.  I'm just here to have fun. Hey.  Nice one.  It really does look like that! I couldn't think of anything lol He's a new guy to rehab and they're welcoming him to the group ""Have a seat in that chair"" Hopeful.  They're discussing each others' faults and past experiences but helping each other out with encouragement. Yep.  I think both of ours are awesome"
96,R_3MGXOX1yuCcAv18,It looks like the man in the pipe is an older gentleman talking to a younger guy Probably telling him about how things used to be in the good old days 
97,R_3EKZyimQpsOzBWB,"Perhaps they are friends or acquiantances? I have no idea. Maybe one leaves because they have something else to attend to. I think that he would feel fine. It's hard to say without knowing how well they know each other or what they are talking about. Yes, perhaps they are discussing business Maybe he's nervous and has to depart soon It seems a bit tense. I say this because of how close everyone is, and how locked in and focused they seem"
97,R_5iGn0DBPwGuUHq9,Yes! it looks like they are friends I think they might have a couple of drinks & leave I'm sure. I hope both of them would leave Quite a bit I do accept this. No clue.. May be about business. Looks like he's leaving apart Its typical. They looks like business people discussing something 
98,R_21cZaGk2gUPmpdw, hello?
99,R_2zhCewtEA7291aS,"I think they're making idle conversation Yeah, agreed One of them might get the bartender's attention to order another drink I would feel like I was talking to an interesting older dude about random stuff and learning a few new things it probably does, although not definitely. Just my impression, not objective fact. They look like they might be in some kind of uniform. I think perhaps this might be a work discussion. it does appear that perhaps he arrived after the others did and preferred to stand The mood seems very active, interested, collaborative Probably some sharing of ideas going around"
99,R_1hAaB03Z40Ky83W,"I think they just happened to be sitting at the bar together and are talking about the weather, sports, etc. I agree, just idle conversation. Since they are dressed completely differently, I don't think that they came together. I think they will each turn back toward the bar and begin eating or drinking. That's possible.  To me that looks like a coffee cup by one of them.  I don't know if the machine is a beer tap or a coffee machine.  No where around here can you smoke a pipe and eat or drink, so I'm just not sure what kind of place they are in. I think I would feel comfortable and content. Umm.  I'm not sure how you are determining ages other than the fact that one is dressed more formally than the other one. I'm not sure that more casual means younger. My first impression was that they might be discussing something at work.  I can't really tell if they are inside or outside. Not sure why one person looks much more relaxed than the others. I think he just walked up after the discussion had already started. He's interested. The mood in the room seems calm and interested.  No one is in an aggressive posture.  There may be discussion of the pros and cons, but no one is upset. Umm.  My chatter disconnected.  What does this mean for me?"
100,R_3I5XKqw88qhtPwW,I think the guy smoking is his grandfather what do you think? ? I think the guy will ask the younger one a favor because the younger guy is a runner like doing criminal activities for the guy smoking the pipe I would feel very nervous about the task being asked since it deals with criminal activity there is no other person talking with me about these pictures though they disconnected so i am just talking to myself there is no one dialoguing with me. They are in a hospital where their mother is  she had a heart attack and is in critical condition he has been pacing the floor with worry he doesn't feel like sitting. I think the mood is somber and tense. They are worried about the outcome of the health of their mother and are also sad.
102,R_3mfVxz6yBYJCRXE,"So, where are these people?  A diner, right? OH, maybe that's exactly it! Hoodie person is not thrilled with smoking guy. I see what looks like a coffee cup, but I also now notice ashtrays.   Maybe smoking is fine? OH, and they are standing, not sitting.   This is a coffee shop? Oh, now different question.    And the pipe smoking man is asking advice on what to get. And whether the coffee is any good He asks him what kind of tobacco it is, because it smells kind of fruity. {grin} Telling him the best coffee to get And what to avoid. (This is interesting) Ah, how would I feel.   Well, fine? Somewhat smug that I am being asked for my fine coffee opinions? Tired of the smoke in my face. I would quite probably try asking the smoking person if he could not smoke inside. Although clearly it is allowed. (Those have to be ashtrays, right?) Yes, almost all places I know of are like that these days. Oh, here we are looking at... a computer monitor? What is that? They look like they are in... a meeting?   Some sort of heated or very animated discussion is happening, so they are talking about whatever is on that screen. I think it's a monitor. They are discussing stock market results, as the figures change in real time on the screen It must be going well by the look of them Person on the couch looks relaxed, so their stocks must be doing really well HAHAHA.  He is standing because his chair turned into a monitor. It really is a chair, and the leg is broken, and the guy in front is trying to fix it? He is mildly upset, from the look of the hands in his pockets. This is so hard without facial expressions. He is standing because he has back pain and it feels better to stand a while. Oh, yeah, he just came into the room, where they are already looking at stock market prices.   He's grumpy, though. Or sad. OK, so we already kind of touched on this.   At first I thought they looked sort of heated or annoyed. Then kind of excited, like they were watching stock market prices. Or a sports event. Ups and downs, kind of thing? Like, the one on the couch looks totally mellow, but the one in front of the chair/monitor (heh) seems so active. Seems like their moods are different. I wonder if we're supposed to click the arrow button.   Mine just came on.    That hasn't been six questions yet, has it? OH."
102,R_2V7uMe7xwyhhbqZ,"They're talking about smoking inside a restaurant Oh, wait. Maybe that is a bar. Maybe hoodie person does not like the other guy's hat. Good observation. Maybe this is in a European country. I think hoodie will take a sip of coffee next. That's a good one. And hoodie guy is trying to see the smoking guy through a haze of smoke so, next, is that the smoke clears and hoodie guy answers his question lol If I was the man in the hoodie top, I would probably drink up and then leave Yeah. I would need a breath of fresh air In the U.S., there are even bars that have banned smoking. You have to smoke outside. Here is a new pic Is that a monitor, or is that the back of a chair? I can't even guess what they're talking about. Your guess sounds just fine. Sounds good to me. They could be gossiping about their wives, for all I know. I can't think of any response at all. Maybe he is standing because he is tired of sitting. Maybe he just now walked into the room It is just some men discussing something. What mood? Right. Very likely."
103,R_3EumSDSCq10zgTv, I think they are meeting each other in a restaurant or a bar. I think they’re introducing themselves to each other.  I think they are just making small talk.   Maybe the man with the hat is trying to sell him something. I think the man with the hoodie won’t be interested and will get up from his chair and move somewhere else   They just look like two totally different people there trust totally differently so I don’t think the man with the hoodie will be interested.   I would feel intimidated and scared and uncomfortable.   I would also be turned off by the smoking   This looks like a hospital waiting room. I think the doctor is discussing how his surgery went.   The man with the black hair looks like a family member that was maybe sitting for way too long waiting for the doctor to come out to give them an update so he’s just standing to stretch his legs.   Maybe he was afraid to hear what the results were so maybe he wanted to STAN farther away from the doctor.  *stand   The mood in the room is tense but at least one of the family members is speaking very closely with the doctor so they’re listening closely. 
104,R_3MGXOX1yuCcAv18,Looks like they are having an intense conversation
104,R_1g7wme4FIH3pgsT,"because they stare at each other's faces they will continue talking, and taking something order something to eat"
105,R_2sSen2ANw2KbdV6,Hello
106,R_10qQINgA6Rxi4zv, GOOD FOR MY SAME YES FOR THIS IT SEEMS A BUSINESS MEETING WHAT THEY ARE DOING A BUSINESS AND THEN CONCRET IT IF I AM ALSO PERCEIVED I WOULD FEEL NORMAL SINCE I SEE THAT THEY ARE NOT DISCUSSING IF IT IS AN INTERVENTION IT IS THE ONE THAT ANALYZES THE SITUATION IF FOR THE THEME YOU ARE TRYING
106,R_pNaHziG6EclHGlH,"Why do you think they are talking? To me, it looks like a pretty sketchy conversation  Are you there? Yes, I am sure that money is a topic in the meeting To be honest, I would feel a little strange talking to a man that is so casually smoking a pipe in a restaurant  Must be a different time period It looks like the person in the back is watching them too, so I am not sure how i would feel about that The people in this picture are talking to the guy  on the right about his drug usage  It appears to be an intervention  What else could it be? I think is the therapist or the person in charge of organizing this intervention If you have anything to add, that would be great Yeah. That is what I was thinking I am guessing there is a very somber mood in the room right now"
107,R_1JEku21xGtJDJXs,"  my opinion The hoodie was born of modest origins. Champion Products, which began as the Knickerbocker Knitting Company in 1919, claims to have made the first hooded sweatshirt. Originally a sweater mill, Champion began making sweatshirts in the early 1930s once it developed methods to sew thicker underwear material The hooded sweatshirt was first produced in the United States starting in the 1930s. The modern clothing style was first produced by Champion in the 1930s and marketed to laborers working in freezing temperatures in upstate New York. The term hoodie entered popular usage in the 1990s. First, it's made of heavyweight cotton. Most other sweatshirts on the market today are made of some kind of blend, usually cotton and polyester. The cheaper the sweatshirt, the more polyester. (American Apparel's hoodie, which sells for $46, is 50 percent polyester.) happy project discussion"
107,R_1jlDR1NbmAJ0LJf,"The two men are facing eachother squarely, so they may know eachother well.  I think they are talking about the man in the sweatshirt, who has recently had a baby. I think the men will finish their conversation and leave the store.   I think I would feel comforatable.  He looks very relaxed.  That's interesting, but how do you think the man feels?  How do you think you would feel if you were him?  I think these people are on a team together at work and are discussing a project.  I think he recently approached the group, perhaps he is the manager of all the people sitting and walked up to get an update.  I think the mood is really concentrated.  It lookks like everyone is working hard together. "
108,R_3PAgSxZWpluIyQZ,"To me the man in the hat lookl like a detective, maybe he is asking him questions.  What do you think? Hmm, those are two good options, maybe we can combine them his grandfather is a detective So if they are family and talking at teh diner, maybe the next thing is they will order breakfast and get a table Why do you think they might do that? Maybe they meet regilarly at the diner for breakfast, every week or so? Well, I would feel happy to see my grandfather and chat with him. I also hope he tell me about an exciting case he is working on  yes, I agree I also probably like him if I meet my grandfather regularly,  hmm, it looks like an office maybe? Yes, maybe a big project they are working on together? OK, sounds good We had a coworker who liked to stand in meetings to keep himself more engaged that's a good point, he has his hands in pockets, and looks relaxed not engaged Let's go woith your idea and say he is observing rather than participating realxed and upbeat they seem animated and engaged the person onthe couch has their arm out, relaxed yes! and I think the why is becasue of their posture even the two who are sitting are gesturing thanks!"
108,R_333ZB3efvTu2ilF,"That is very Iikely! I also think the man with the pipe may be the man in the  hoods grandfather.  He does look like a detective.  Yes, I could see that happening.  I think thats possible. That might be how they keep in touch. I would feel happy, at ease.  It would probably be something I would look forward to doing, if it is a weekly occurrence.  They look like they might work together, so they could be talking about that.  Yes like an office setting.  The way they are posing makes it look like they are engaged in the conversation so a big project fits.  He looks like he is observing the conversation instead of really joining in.  Ahh, that makes a lot of sense.  Alright sounds good  I thinks its relaxed.  Yes, upbeat. Its like they are excited about what they are discussing.  Yes, leaning forward and using their hands "
109,R_1ONz8y2QtRgryO9,"Hi there have you arrived in  Ok so I think we are supposed to figure this out (re discussion going on) any ideas I was sort of leaning towards younger man, older man, perhaps father son? Ah, great idea Ok so either father son or professor/student sit down together to have a meal> Agree, and if father/son or  prof/student with a bit of deferance agree ok so we are on the same page here seems like the man standing and the man sitting nearest to the blinds are listening to the sitting man on the right as it appears to be an institutional setting it could be work, school or perhaps medical? you could well be right everyone seems relaxed so I would think more a scholl setting I think he is listening in vs joining in the conversation oops we thought the same at the same time (lol) well at least we know neither of us is bot! I agree with your earlier assumption that this is intense converstation but also think everyone is comfortable once again full agreement the why I think is because everyone knows one another"
109,R_z8vrAaGrOn7BkM9,"Yes It is hard to say.  The guy with the pipe looks pretty intense and the man in the sweatshirt is very laid back.  I assume just casual conversation...small talk. Could be.  So, in answer to the second question, I think they will get their food soon, and have a meal together. Assuming it could be his father, then I guess he would feel comfortable talking to the man. He is turned towards him and making eye contact, so he must know him and feel comfortable talking to him. TRUE I think so. Yes.  He is using a lot of hand gestures.  Maybe telling a story. He is just listening to the man on the right. Agree Great minds think alike. TRUE It appears all 3 of them are listening to the man on the right talk. The mood is casual.  Everyone is listening to the man on the right talk. Good. I agree since they are all sitting close to each other."
110,R_1dozPJB5o71bMUf,"My thought is they are talking about what the man with the pipe does for a living.  He seems interesting Yes, I agree it does.  One of those great old lunch counters that are hard to find nowadays. I think both the man with the pipe and the hooded sweatshirt will be served their lunch.  They will likely continue to talk through their meal.   I agree, he seems to be intrigued with the man with the pipe. Maybe the man with the pipe has an interesting job and is recruiting the hooded sweatshirt guy. If I were hooded sweatshirt, I'd be happy to have someone interesting to talk to at lunch and I'd be very curious about who and what the man with the pipe is.  "
110,R_e4KlnY5IXZRNBol,It looks like a diner. What do you think? It does look like the man whose back is turned is interested.  That I should possible. I wonder if they know each other. Could be. What kind of work do you think he does? The man with the pipe looks well dressed. I think they are talking about a political issue Or maybe the stock market What do you think? He just joined the discussion I think the mood is serious because of their postures
